Host,Memory Usage,CPU Usage,Primary Sent,Primary Received,Primary Speed,Secondary Received,Secondary Sent,Secondary Speed
BR-C085-CHPLN,58.98,47.02,44.02 Kbps,58.97 Kbps,1.00 Mbps,192.80 Kbps,40.06 Kbps,15.00 Mbps
BR-C086-JALNA,68.76,45.91,26.65 Kbps,48.83 Kbps,4.00 Mbps,82.20 Kbps,40.62 Kbps,2.00 Mbps
BR-C087-SANGL,68.05,47.16,32.01 Kbps,55.67 Kbps,4.00 Mbps,62.19 Kbps,37.88 Kbps,2.00 Mbps
BR-C088-KDKPD,70.59,47.37,42.22 Kbps,69.94 Kbps,2.00 Mbps,119.53 Kbps,43.97 Kbps,10.00 Mbps
BR-C089-CHDVL,51.84,45.75,38.77 Kbps,84.24 Kbps,5.00 Mbps,178.95 Kbps,58.33 Kbps,10.00 Mbps
BR-C090-BOISR,56,44.85,35.77 Kbps,57.39 Kbps,2.00 Mbps,96.49 Kbps,37.17 Kbps,2.00 Mbps
BR-C091-KUDUS,61.09,47.27,41.73 Kbps,50.76 Kbps,2.00 Mbps,124.46 Kbps,41.05 Kbps,15.00 Mbps
BR-C092-PHNDA,58.85,47.72,48.32 Kbps,91.79 Kbps,4.00 Mbps,189.91 Kbps,48.33 Kbps,2.00 Mbps
BR-C093-MDGON,54.25,45.82,41.42 Kbps,161.00 Kbps,5.00 Mbps,65.89 Kbps,50.08 Kbps,2.00 Mbps
BR-C094-MHTNG,60.36,45.44,32.52 Kbps,109.62 Kbps,4.00 Mbps,67.27 Kbps,43.28 Kbps,2.00 Mbps
BR-C095-PEN,58.67,46.06,37.97 Kbps,59.52 Kbps,2.00 Mbps,183.75 Kbps,42.90 Kbps,15.00 Mbps
BR-C096-AKOLA,51.39,47.95,46.15 Kbps,92.08 Kbps,2.00 Mbps,117.97 Kbps,37.26 Kbps,5.00 Mbps
BR-C097-SLPUR,58.17,46.59,30.57 Kbps,59.44 Kbps,4.00 Mbps,142.95 Kbps,52.62 Kbps,2.00 Mbps
BR-C098-SURAT,65.28,47.87,86.04 Kbps,163.65 Kbps,4.00 Mbps,183.15 Kbps,78.35 Kbps,2.00 Mbps
BR-C099-VDDRA,69.85,45.62,36.80 Kbps,65.18 Kbps,2.00 Mbps,185.48 Kbps,59.36 Kbps,2.00 Mbps
BR-C100-AHMBD,58.9,45.48,41.41 Kbps,48.22 Kbps,2.00 Mbps,77.77 Kbps,33.20 Kbps,2.00 Mbps
BR-C101-JYNGR,44.84,45.32,68.36 Kbps,115.48 Kbps,4.00 Mbps,36.09 Kbps,19.22 Kbps,2.00 Mbps
BR-C103-LOSWD,53.2,49.99,148.94 Kbps,388.86 Kbps,10.00 Mbps,466.48 Kbps,91.37 Kbps,10.00 Mbps
BR-C104-DOMBW,60.1,46.78,56.82 Kbps,87.93 Kbps,4.00 Mbps,93.09 Kbps,37.84 Kbps,2.00 Mbps
BR-C105-SHPUR,70.22,45.39,31.39 Kbps,51.84 Kbps,2.00 Mbps,109.85 Kbps,38.78 Kbps,2.00 Mbps
BR-C106-MULUE,62.23,47.19,47.84 Kbps,101.93 Kbps,2.00 Mbps,200.99 Kbps,73.73 Kbps,10.00 Mbps
BR-C108-ULNGR,66.55,47.61,36.91 Kbps,106.61 Kbps,10.00 Mbps,176.57 Kbps,52.66 Kbps,5.00 Mbps
BR-C109-HUBLI,70.35,45.43,44.52 Kbps,62.90 Kbps,2.00 Mbps,76.33 Kbps,46.80 Kbps,2.00 Mbps
BR-C110-KRVNG,57.05,47.67,41.17 Kbps,70.06 Kbps,2.00 Mbps,180.85 Kbps,49.81 Kbps,1.00 Mbps
BR-C111-RAJKT,70.73,46.31,48.96 Kbps,123.81 Kbps,2.00 Mbps,177.03 Kbps,89.01 Kbps,5.00 Mbps
BR-C112-STRTM,69.98,47.4,49.92 Kbps,67.83 Kbps,2.00 Mbps,95.67 Kbps,39.22 Kbps,2.00 Mbps
BR-C113-AHDNG,70.29,46.32,45.45 Kbps,86.30 Kbps,2.00 Mbps,140.33 Kbps,64.78 Kbps,2.00 Mbps
BR-C114-NNDED,70.34,47.49,36.02 Kbps,60.26 Kbps,4.00 Mbps,111.33 Kbps,44.04 Kbps,2.00 Mbps
BR-C115-RJJNG,58.16,45.88,36.65 Kbps,44.89 Kbps,2.00 Mbps,81.43 Kbps,29.69 Kbps,2.00 Mbps
BR-C116-PRJNG,58.61,45.92,46.39 Kbps,109.77 Kbps,2.00 Mbps,242.96 Kbps,35.89 Kbps,5.00 Mbps
BR-C117-CNAVE,65.46,47.83,36.94 Kbps,56.70 Kbps,2.00 Mbps,178.70 Kbps,52.66 Kbps,5.00 Mbps
BR-C118-PRHNG,70.16,48.14,41.84 Kbps,371.91 Kbps,2.00 Mbps,97.22 Kbps,76.73 Kbps,2.00 Mbps
BR-C119-ICLKR,57.55,46.4,28.45 Kbps,55.87 Kbps,2.00 Mbps,75.89 Kbps,46.19 Kbps,2.00 Mbps
BR-C120-AMRVT,63.5,47.75,49.05 Kbps,67.01 Kbps,2.00 Mbps,162.96 Kbps,41.89 Kbps,5.00 Mbps
BR-C121-DHKLI,70.78,46.74,131.87 Kbps,309.98 Kbps,2.00 Mbps,26.97 Kbps,5.53 Kbps,15.00 Mbps
