Last Updated,Branch,System IP,Hostname,Tunnel,State,Type
02-02-2026 17:30:29,Thane NOC/DC,192.168.222.2,DC-THANE-C83K-R2,192.168.222.2:Biz-Internet ? 192.168.222.173:Local ISP,DOWN,INITIAL
02-02-2026 17:30:29,Thane NOC/DC,192.168.222.2,DC-THANE-C83K-R2,192.168.222.2:Sify ? 192.168.222.201:Sify,UP,RECOVERED
02-02-2026 17:30:29,Thane NOC/DC,192.168.222.2,DC-THANE-C83K-R2,192.168.222.2:TTML ? 192.168.222.199:TTML,DOWN,INITIAL
02-02-2026 17:30:33,Pune DC,192.168.222.3,DR-PUNE-C83K-RTR01,192.168.222.3:Biz-Internet ? 192.168.222.173:Biz-Internet,UP,RECOVERED
02-02-2026 17:30:33,Pune DC,192.168.222.3,DR-PUNE-C83K-RTR01,192.168.222.3:Biz-Internet ? 192.168.222.173:Local ISP,DOWN,INITIAL
02-02-2026 17:30:33,Pune DC,192.168.222.3,DR-PUNE-C83K-RTR01,192.168.222.3:Sify ? 192.168.222.201:Sify,UP,RECOVERED
02-02-2026 17:30:33,Pune DC,192.168.222.3,DR-PUNE-C83K-RTR01,192.168.222.3:TTML ? 192.168.222.199:TTML,DOWN,INITIAL
02-02-2026 17:30:33,Bhiwandi_GD,192.168.222.173,OF-BWDGD-GD,192.168.222.173:Local ISP ? 192.168.222.1:Biz-Internet,DOWN,INITIAL
02-02-2026 17:30:33,Bhiwandi_GD,192.168.222.173,OF-BWDGD-GD,192.168.222.173:Local ISP ? 192.168.222.2:Biz-Internet,DOWN,INITIAL
02-02-2026 17:30:33,Bhiwandi_GD,192.168.222.173,OF-BWDGD-GD,192.168.222.173:Local ISP ? 192.168.222.3:Biz-Internet,DOWN,INITIAL
02-02-2026 17:30:33,Bhiwandi_GD,192.168.222.173,OF-BWDGD-GD,192.168.222.173:Local ISP ? 192.168.222.4:Local ISP,DOWN,INITIAL
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:Local ISP ? 192.168.222.173:Biz-Internet,UP,RECOVERED
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:Local ISP ? 192.168.222.173:Local ISP,DOWN,INITIAL
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:Sify ? 192.168.222.201:Sify,UP,RECOVERED
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:Airtel ? 192.168.222.16:Airtel,DOWN,INITIAL
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:Airtel ? 192.168.222.16:Airtel,DOWN,CHANGED
02-02-2026 17:30:45,Pune DC,192.168.222.4,DR-PUNE-C83K-RTR02,192.168.222.4:TTML ? 192.168.222.199:TTML,DOWN,INITIAL
